Component,Quantity,Cost,Desc + Notes,Link
ESP32-C3-DEVKITM-1-N4X,1,0.31 W/ Shipping,"Main computer, (I have an amazon gift card to cover most hence the price)",https://www.amazon.com/gp/product/B0DHS5D9QR?smid=A33XZ36WFNH796&psc=1
Greetech Blue 55g clicky switch + Kalih Switch Hot Swap Socket,9,$6.89 w/ shipping,"For the macro board itself, hot swap to allow for me not having to desolder",https://mechanicalkeyboards.com/products/greetech-blue-55g-clicky?variant=47599969370412&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c
PCB,5 (minimum amount),$11.20 w/ shipping,Main PCB board,https://jlcpcb.com/
Keycap,10 (minimum amount),$31.00 w/ shipping,Need keycaps to make the project polihed and feel good,https://yuzukeycaps.com/c/7f7ec5b1-1e28-4e48-ae13-4913c57327d8
female single row header strip,5 (smallest offered),$7.52 w/ shipping,To connect board to PCB,https://www.ebay.com/itm/177501534620?chn=ps&norover=1&mkscid=101&itemid=177501534620&targetid=2450249296795&device=c&mktype=pla&googleloc=1014654&poi&campaignid=21214315381&mkgroupid=188184246123&rlsatarget=pla-2450249296795&abcId=9407526&merchantid=5411207311
,TOTAL: 30 ITEMS,TOTAL COST: $56.92,,
